


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

  466 0.8941E-04 0.2723E-03
  467 0.8861E-04 0.2698E-03
  468 0.8782E-04 0.2672E-03
  469 0.8703E-04 0.2647E-03
  470 0.8625E-04 0.2622E-03
  471 0.8547E-04 0.2597E-03
  472 0.8469E-04 0.2572E-03
  473 0.8392E-04 0.2547E-03
  474 0.8315E-04 0.2522E-03
  475 0.8239E-04 0.2498E-03
  476 0.8163E-04 0.2474E-03
  477 0.8087E-04 0.2449E-03
  478 0.8012E-04 0.2425E-03
  479 0.7937E-04 0.2401E-03
  480 0.7863E-04 0.2377E-03
  481 0.7789E-04 0.2354E-03
  482 0.7715E-04 0.2330E-03
  483 0.7642E-04 0.2307E-03
  484 0.7570E-04 0.2284E-03
  485 0.7497E-04 0.2260E-03
  486 0.7425E-04 0.2238E-03
  487 0.7354E-04 0.2215E-03
  488 0.7283E-04 0.2192E-03
  489 0.7212E-04 0.2169E-03
  490 0.7142E-04 0.2147E-03
  491 0.7073E-04 0.2125E-03
  492 0.7004E-04 0.2103E-03
  493 0.6935E-04 0.2083E-03
  494 0.6867E-04 0.2062E-03
  495 0.6799E-04 0.2042E-03
  496 0.6731E-04 0.2021E-03
  497 0.6664E-04 0.2001E-03
  498 0.6598E-04 0.1981E-03
  499 0.6532E-04 0.1961E-03
  500 0.6469E-04 0.1942E-03
